vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AO	1	ALBANY	935.2	1400.9	3002.7	60.6	76.8	218.3	176.074	176.034	176.154	0.12	53	5	4	2	0	5			942.4	1402.2	935.8	1400.9	925.6	1386.7	909.8	1373.0	881.8	1350.6	5		946	1412	3039	53.54205	1	Albany	176.0808
AA	1	CONCERTS	967.1	1697.5	2023.5	168.7	170.6	944.5	176.843	176.813	176.903	0.09	5	4	4	2	6	4			957.0	1710.0	966.8	1696.9	939.0	1672.3	889.5	1627.3	846.0	1629.1	6		1066	1752	3058	5.44204	1	concerts	176.8472
AA	1	LOT	987.8	1620.7	2986.3	153.3	223.6	365.0	177.447	177.364	177.614	0.25	5	1	4	1	7	0			959.7	1489.0	994.7	1634.7	1027.3	1677.5	1004.0	1682.9	971.3	1708.0	4		1002	1619	2845	5.1417	1	lot	177.5024
AE	1	FAMILY	780.1	2324.2	3081.7	74.7	139.4	306.8	178.183	178.136	178.276	0.14	39	4	1	2	1	1			710.1	2263.4	787.6	2322.7	819.1	2282.6	817.6	2209.3	815.8	2049.3	5		817	2333	3115	3.41212	1	family	178.1905
AW	1	OUT	809.1	1568.9	2773.7	79.6	231.8	151.4	178.995	178.965	179.085	0.12	42	1	4	1	0	0			793.5	1554.9	818.8	1560.5	832.5	1517.8	842.0	1471.3	826.9	1438.2	5		842	1503	2725	42.141	1	out	179.0314
OY	1	BOYFRIEND	632.1	1396.9	2137.0	84.5	145.0	2081.8	182.105	182.075	182.164	0.089	61	3	2	1	1	1			614.5	1214.5	632.4	1412.4	631.0	1658.7	625.7	1828.6	627.2	1923.0	6		570	1042	2621	61.32114	1	boyfriend	182.0751
OW	1	GOES	684.3	1413.6	2340.9	236.3	387.3	346.6	182.376	182.364	182.474	0.11	62	3	4	2	6	0			616.4	1308.5	622.5	1197.2	618.5	1222.0	611.4	1310.1	608.9	1458.1	6		626	1219	2487	62.0026	1	goes	182.4141
AO	1	ALBANY	826.2	1544.1	2745.4	82.9	146.5	188.7	182.595	182.575	182.635	0.06	53	5	4	2	0	5			796.1	1557.5	829.2	1541.7	856.8	1530.4	877.4	1532.9	886.5	1539.7	5		868	1375	2633	53.54205	1	Albany	182.6477
AA	1	COLLEGE	832.2	1502.8	2327.3	108.0	233.4	545.1	182.921	182.895	182.974	0.079	5	5	4	2	6	1			858.0	1452.3	835.9	1499.4	865.3	1472.0	867.7	1458.8	837.5	1523.3	6		856	1587	2905	5.54201	1	college	182.9554
AA	1	PHARMACY	807.5	1456.5	2253.9	103.9	193.6	190.1	183.184	183.164	183.224	0.06	44	6	4	2	1	5			811.2	1387.8	810.7	1465.0	843.1	1536.1	871.3	1597.6	887.2	1647.4	5		881	1620	2236	44.60012	1	pharmacy	183.2118
