vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AO	1	FOUGHT	706.7	971.3	2893.3	146.3	151.1	492.8	167.821	167.771	167.92	0.149	53	1	4	1	1	0			713.9	1013.9	707.7	971.9	725.4	1018.1	722.7	1112.6	720.3	1192.4	4		696	987	2722	53.1411	1	fought	167.8386
IH	1	HERE	456.7	2070.0	2419.6	121.0	152.8	416.4	168.228	168.201	168.281	0.08	14	6	4	2	0	0			448.5	2119.9	457.2	2064.1	468.7	2002.8	494.8	1938.3	534.1	1842.0	4		454	1963	2221	14.6	1	here	168.2361
IH	1	DIDN'T	530.4	1912.8	2659.7	91.3	218.0	424.4	168.518	168.501	168.551	0.05	1	4	4	2	3	3			525.5	1890.9	530.4	1912.8	542.7	1917.0	558.2	1913.9	563.6	1919.3	4		575	1854	2495	1.14233	1	didn't	168.5363
IY	1	SEE	427.5	2143.5	2751.7	112.7	110.6	248.0	168.858	168.821	168.931	0.11	12	0	0	0	3	0			432.3	2053.4	427.3	2154.7	426.6	2203.7	430.9	2233.5	448.9	2239.1	4		429	2227	2869	12.0003	1	see	168.8789
ER	1	HEARD	515.3	1336.2	1668.0	84.8	234.7	130.8	169.946	169.916	170.005	0.089	94	1	4	2	0	0			539.5	1351.3	513.4	1336.7	488.4	1351.2	471.6	1362.0	441.7	1361.9	6		510	1397	1662	94.6	1	heard	169.9498
IH	1	KID	489.6	1889.1	2556.8	80.7	119.9	284.7	170.368	170.345	170.415	0.07	1	1	4	2	6	0			478.0	1925.8	492.7	1882.9	507.3	1850.9	517.3	1796.2	510.1	1738.4	5		504	1872	2566	1.1426	1	kid	170.377
AY	1	PIPE	682.0	1209.5	2296.7	139.2	156.5	151.1	171.406	171.385	171.505	0.12	47	1	1	1	1	0			680.5	1232.9	644.5	1360.8	603.8	1494.2	572.6	1586.2	505.0	1566.9	5		697	1253	2303	47.1111	1	pipe	171.4092
AY	1	LIKE	670.8	1362.7	2370.6	128.4	202.2	132.1	171.712	171.705	171.786	0.081	47	1	6	1	7	0			661.5	1453.8	636.0	1576.9	590.4	1726.9	506.1	1871.7	452.1	1986.3	5		674	1324	2365	47.1617	1	like	171.7094
OW	1	BROKE	558.4	1172.4	1925.1	51.3	129.3	91.0	172.103	172.096	172.176	0.08	62	1	6	1	8	0			551.8	1154.0	525.0	1104.8	503.5	1052.6	486.5	989.2	450.4	966.0	6		562	1167	1969	62.1618	1	broke	172.1115
AO	1	FOREARM	508.6	811.7	2328.8	42.2	109.8	294.6	172.509	172.466	172.596	0.13	64	6	4	2	1	1			518.0	825.7	508.9	811.4	521.1	845.8	550.0	948.8	566.9	1043.6	5		513	815	2342	64.60011	1	forearm	172.509
EH	1	THERE	634.9	1807.3	2332.8	97.8	232.5	265.5	176.226	176.193	176.293	0.1	24	6	4	2	3	0			639.7	1832.9	634.1	1800.0	625.7	1724.5	613.6	1650.5	594.4	1574.5	5		628	1810	2465	24.6003	1	there	176.1985
UH	1	TOOK	555.8	1333.9	2221.2	47.4	72.3	796.5	176.73	176.703	176.784	0.081	7	1	6	1	3	0			562.0	1351.0	555.2	1332.6	546.8	1308.0	532.4	1277.2	450.2	1241.6	6		557	1349	2498	7.1613	1	took	176.7305
AA	1	HOSPITAL	753.0	1223.6	2445.8	82.3	243.6	225.8	177.804	177.777	177.857	0.08	5	3	4	1	0	5			772.5	1258.3	751.3	1220.1	727.9	1191.9	700.2	1181.9	687.1	1197.4	5		799	1297	2395	5.34202	1	hospital	177.7734
