v	N	f1_man_mean	f1_auto_mean	f1_diff	f2_man_mean	f2_auto_mean	f2_diff	f1_man_sd	f1_auto_sd	f2_man_sd	f2_auto_sd	f1_rmse	f2_rmse	f1_diff_mean	f1_diff_sd	f2_diff_mean	f2_diff_sd	f1_abs_diff_mean	f1_abs_diff_sd	f2_abs_diff_mean	f2_abs_diff_sd	f1_p	f1_t	f2_p	f2_t	f1_p_paired	f1_t_paired	f2_p_paired	f2_t_paired	f1_r	f2_r
AY_N	9	725.7778	718.5444	7.233333	1429.889	1443.344	13.45556	56.0798	49.92127	178.6879	171.072	19.98258	33.5978	7.233333	19.7574	-13.45556	32.65318	16.1	12.55408	25.83333	22.78448	0.7763241	0.2890232	0.8724244	-0.1631793	0.3040167	1.098322	0.2514382	-1.236225	0.937057	0.9835087
EY_E	13	487.6923	493.1692	5.476923	1873.615	1874.238	0.6230769	45.5364	49.3222	153.8243	107.0989	11.94771	125.8593	-5.476923	11.05201	-0.6230769	130.9969	9.676923	7.293622	69.45385	109.2465	0.7711718	-0.2941718	0.990548	-0.01198564	0.09924256	-1.786763	0.9865992	-0.01714953	0.975998	0.5454487
IY_E	18	387.3333	385.5278	1.805556	1964.222	1960.306	3.916667	36.58994	33.80182	60.27735	68.35922	12.45434	32.4479	1.805556	12.68002	3.916667	33.14448	8.95	8.911806	25.68333	20.405	0.878698	0.15378	0.8564268	0.1823257	0.5537376	0.6041255	0.6225543	0.5013507	0.9381434	0.8746224
AA_L	3	741.3333	757	15.66667	1275.667	1348.467	72.8	35.79572	29.35864	47.03545	48.21134	18.5226	75.44428	-15.66667	12.1022	-72.8	24.24871	15.66667	12.1022	72.8	24.24871	NA	NA	NA	NA	NA	NA	NA	NA	0.9500304	0.8706548
AH_E	14	634.6429	623.2857	11.35714	1264.357	1293.179	28.82143	47.19942	38.63165	127.9168	108.4958	22.14852	64.78233	11.35714	19.73286	-28.82143	60.20801	18.37143	12.83825	49.02143	43.95024	0.492408	0.6967076	0.5260486	-0.6429295	0.05063243	2.153491	0.09657258	-1.791122	0.9133541	0.8829901
AE_E	29	654.3103	651.0103	3.3	1720	1730.39	10.38966	44.49727	39.76342	86.5584	95.75268	23.35604	58.64455	3.3	23.531	-10.38966	58.7385	14.7069	18.46535	33.81034	48.76521	0.7669748	0.2977958	0.6663616	-0.4334615	0.4564241	0.7552185	0.3489807	-0.952527	0.8498617	0.7969597
AO_R	16	514.125	493.4438	20.68125	845.4375	860.35	14.9125	40.36975	40.80569	143.741	180.1965	32.47028	55.99189	20.68125	25.85303	-14.9125	55.73948	26.25625	19.7296	39.6125	40.86976	0.1598898	1.441189	0.7976589	-0.2587804	0.005966061	3.199819	0.3014672	-1.070157	0.7971885	0.9656801
ER_R	15	466	469.5667	3.566667	1324.067	1328.567	4.5	45.89429	43.10873	110.1236	115.5421	15.35641	40.57854	-3.566667	15.46072	-4.5	41.74371	13.14	8.226247	28.7	29.69358	0.8279482	-0.2193844	0.9138325	-0.1091899	0.3867085	-0.8934669	0.6826375	-0.4175102	0.9415514	0.9326788
UW_L	4	374	357	17	768.25	826.8	58.55	25.72936	48.38891	96.0256	54.21009	36.92987	76.72281	17	37.85613	-58.55	57.25135	22.15	34.12121	58.55	57.25135	NA	NA	NA	NA	NA	NA	NA	NA	0.6306748	0.8531205
AY_E	23	730.3478	744.113	13.76522	1367.957	1399.957	32	75.03067	88.45352	137.638	117.5157	54.69514	138.6022	-13.76522	54.12434	-32	137.8884	32.44348	45.02349	78.67826	116.671	0.5722247	-0.5691508	0.401156	-0.8479704	0.2354922	-1.219704	0.2777321	-1.112977	0.7928744	0.4247683
AH_N	5	643	618.62	24.38	1201	1195.54	5.46	49.10193	13.19155	156.7004	179.5948	49.46391	77.13244	24.38	48.11826	5.46	86.02036	35.14	38.92073	57.82	57.07738	0.3368954	1.072228	0.960426	0.05122334	0.3205426	1.132945	0.8939964	0.1419307	0.2081498	0.877848
