vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
OW	1	GO	596.9	992.1	2704.1	147.6	132.5	658.3	144.608	144.583	144.733	0.15	63	0	0	0	6	0			600.8	979.4	608.3	975.7	589.4	993.0	535.1	1001.8	509.9	1092.1	6	601	992	3081	62.0006	1	go	144.6483
EH	1	THERE	764.3	2074.8	3537.5	311.9	192.1	797.7	144.933	144.803	145.192	0.389	24	6	4	2	3	0			716.5	2158.2	766.0	2063.8	728.8	1950.3	680.1	1928.8	617.5	1963.7	4	692	2105	3172	24.6003	1	there	144.8584
AH	1	COUPLE	818.2	1282.7	1664.1	206.2	128.1	1200.3	146.095	146.078	146.128	0.05	6	1	1	1	6	1			828.8	1266.7	818.2	1282.7	798.7	1262.3	773.7	1243.5	735.4	1221.9	6	899	1326	2815	6.11101	1	couple	146.1011
EY	1	MAYBE	599.2	2407.7	3080.5	118.9	213.8	402.2	147.859	147.83	147.93	0.1	21	1	1	2	2	1			589.4	2359.9	592.1	2409.6	552.7	2397.9	518.8	2302.7	528.4	2077.5	5	603	2416	3092	21.1122	1	maybe	147.8584
AH	1	MONTH	983.2	1330.0	2436.6	293.4	175.0	876.1	148.496	148.459	148.569	0.11	6	4	4	2	2	3			956.4	1251.6	985.4	1342.5	957.2	1420.7	837.0	1446.3	695.1	1467.1	6	984	1358	2474	6.44223	1	month	148.5027
AE	1	HAVE	814.5	2094.1	3130.7	37.3	160.2	340.8	149.209	149.179	149.269	0.09	3	3	2	2	0	0			810.3	2154.5	814.8	2087.1	815.9	1952.9	813.0	1833.7	807.0	1737.3	4	802	2108	3005	3.322	1	have	149.1912
AH	1	CLUB	796.6	1328.0	1950.1	40.4	118.1	2587.6	149.573	149.549	149.62	0.071	6	1	1	2	8	0			799.5	1310.9	796.0	1328.6	786.5	1324.7	760.1	1308.0	688.9	1260.3	6	808	1333	3133	6.1128	1	club	149.5622
IY	1	ME	620.2	2503.4	3175.4	134.2	312.8	318.1	150.073	150.049	150.12	0.071	12	0	0	0	2	0			628.8	2386.4	619.3	2510.2	617.1	2537.1	614.9	2500.6	616.1	2447.8	5	618	2576	3218	12.0002	1	me	150.0778
EH	1	FRIENDS	830.7	1620.7	2543.0	257.7	162.8	1333.2	150.47	150.45	150.51	0.06	2	4	4	2	8	3			818.8	1608.6	831.7	1622.7	832.0	1636.0	811.4	1642.9	778.4	1633.8	5	848	1637	2731	2.44283	1	friends	150.4788
OW	1	GO	593.9	1213.2	2190.8	83.7	117.6	474.9	150.755	150.74	150.86	0.12	63	0	0	0	6	0			595.7	1155.6	591.6	1064.7	576.0	1036.2	564.0	1080.4	559.5	1158.3	6	657	1082	2539	62.0006	1	go	150.7898
OW	1	SO	796.8	1454.7	3337.3	153.4	162.0	177.1	151.311	151.28	151.45	0.17	63	0	0	0	3	0			786.0	1487.5	839.7	1387.1	891.1	1233.4	866.1	1248.1	830.0	2914.7	4	756	1489	3056	62.0003	1	so	151.3075
EH	1	NEVER	856.2	1680.8	2743.3	226.1	194.9	1059.3	156.001	155.975	156.054	0.079	2	3	2	2	4	1			794.1	1704.5	863.4	1676.6	860.5	1651.2	832.3	1635.0	788.1	1613.9	5	881	1664	2801	2.32241	1	never	156.0091
AA	1	ROCHESTER	876.0	1629.3	3142.3	114.4	159.5	1230.0	156.491	156.445	156.584	0.139	5	2	5	1	7	2			835.7	1639.6	878.5	1633.0	860.2	1679.6	822.6	1735.3	758.7	1817.4	4	865	1596	2547	5.16175	1	Rochester	156.5003
AA	1	SHOPPING	939.9	1727.3	3173.2	108.1	160.4	280.2	164.549	164.502	164.642	0.14	5	1	1	1	5	1			848.4	1782.1	946.8	1723.2	987.8	1666.6	997.7	1621.8	933.6	1574.0	4	951	1654	3061	5.1115	1	shopping	164.56
EH	1	FRIEND	803.3	1792.1	3254.0	202.9	299.0	425.7	168.812	168.795	168.846	0.051	2	4	4	2	8	3			812.6	1813.9	800.8	1786.3	784.0	1757.3	766.2	1756.6	751.6	1765.5	4	741	1658	2737	2.44283	1	friend	168.822
AO	1	LAUREN	658.4	1012.8	2762.0	103.8	199.1	343.9	169.078	169.035	169.165	0.13	64	6	4	2	7	1			659.7	981.1	659.2	1020.3	670.0	1077.7	677.2	1175.8	682.1	1260.6	5	659	1001	2795	54.60071	1	Lauren	169.0737
AH	1	BROTHER	804.5	1542.1	2993.6	47.3	147.5	518.5	169.812	169.786	169.865	0.079	6	3	3	2	8	1			796.3	1534.6	804.7	1543.2	799.3	1552.0	785.2	1564.0	743.7	1570.8	5	802	1543	2827	6.33181	1	brother	169.803
AE	1	HAD	762.3	2095.4	3398.5	90.0	153.4	331.0	170.098	170.075	170.145	0.07	3	1	4	2	0	0			755.9	2097.0	762.8	2093.9	756.3	2063.7	732.1	1996.7	686.8	1926.2	4	767	2107	3419	3.142	1	had	170.0968
AA	1	HOCKEY	997.1	1640.9	1745.0	110.8	334.6	658.1	170.358	170.335	170.405	0.07	5	1	6	1	0	1			994.1	1602.3	997.0	1647.5	987.6	1633.2	967.0	1558.4	939.4	1418.9	6	1096	1733	3272	5.16101	1	hockey	170.3584
EH	1	THERE	736.2	1919.6	3215.4	97.1	93.0	242.3	171.023	170.986	171.096	0.11	24	6	4	2	3	0			733.8	1914.4	736.5	1919.5	738.3	1918.6	738.6	1922.1	739.6	1929.0	4	728	1898	3355	24.6003	1	there	170.9941
AO	0	ALREADY	804.6	1655.9	2831.7	68.8	131.3	823.6	171.946	171.929	171.979	0.05	64	6	4	2	0	2			791.1	1648.7	804.6	1655.9	810.8	1658.7	810.1	1662.9	807.1	1670.1	5	815	1661	2688	53.54205	1	already	171.9528
EH	1	THERE	734.6	2082.4	3130.0	82.1	175.4	879.4	172.295	172.218	172.449	0.231	24	6	4	2	3	0			726.6	2017.7	735.3	2083.0	721.7	2034.7	698.1	1932.6	650.7	1830.9	5	728	2078	3221	24.6003	1	there	172.2775
OW	1	SO	749.8	1502.2	3223.5	104.8	130.7	462.5	173.077	173.058	173.218	0.16	63	0	0	0	3	0			800.2	1462.3	792.8	1357.9	775.0	1309.6	755.2	1240.7	701.1	1113.6	5	807	1486	3344	62.0003	1	so	173.0882
AA	1	SHOPPING	981.2	1674.6	3533.9	130.0	156.8	467.4	173.885	173.845	173.966	0.121	5	1	1	1	5	1			939.6	1714.2	985.6	1670.0	1018.5	1634.1	1024.2	1611.7	953.2	1548.8	4	991	1593	2926	5.1115	1	shopping	173.9083
AA	1	HOCKEY	1035.8	1609.4	2901.6	121.9	230.1	750.7	174.906	174.876	174.965	0.089	5	1	6	1	0	1			1024.8	1555.7	1036.0	1614.2	1021.7	1670.3	996.3	1708.4	955.7	1743.8	5	1035	1586	2892	5.16101	1	hockey	174.8992
EH	1	NEVER	792.6	1716.0	2879.3	202.1	215.0	641.2	178.491	178.448	178.578	0.13	2	3	2	2	4	1			853.9	1752.5	782.3	1706.1	724.4	1634.0	663.8	1602.0	632.7	1626.0	5	873	1754	3052	2.32241	1	never	178.4684
AO	1	ALBANY	968.0	1348.4	2122.8	110.0	99.4	2348.6	182.626	182.58	182.719	0.139	53	5	4	2	0	5			978.7	1394.1	962.9	1341.3	936.5	1321.7	932.6	1315.0	904.4	1308.1	6	951	1325	2766	53.54205	1	Albany	182.6467
EH	1	SCHENECTADY	940.1	1849.1	2808.4	370.8	208.9	1868.6	184.051	184.028	184.097	0.069	2	1	6	1	4	5			872.5	1835.3	945.0	1852.9	969.3	1917.8	976.4	1949.6	930.9	1956.6	5	970	1883	2648	2.16145	1	(Sche)nectady	184.0609
EH	1	NEVER	702.0	1653.4	2614.3	145.9	262.6	458.9	184.524	184.507	184.557	0.05	2	3	2	2	4	1			689.5	1651.3	702.0	1653.4	723.6	1662.9	730.4	1666.4	730.6	1667.6	5	729	1662	2557	2.32241	1	never	184.5349
AO	1	ALBANY	928.9	1346.7	1781.5	106.3	174.8	1827.6	185.448	185.428	185.487	0.059	53	5	4	2	0	5			923.0	1350.1	929.6	1346.4	934.4	1344.6	929.9	1341.3	923.4	1331.7	6	954	1384	2923	53.54205	1	Albany	185.4657
AE	1	BASKETBALL	715.1	2170.1	3042.8	104.9	239.2	1299.7	187.729	187.679	187.829	0.15	39	3	4	1	1	5			645.6	2148.1	722.3	2158.0	761.0	2058.8	781.3	1980.4	789.3	1880.6	5	611	2101	2976	3.34212	1	basketball	187.6984
EY	1	GAME	618.7	2745.3	3237.3	62.3	197.2	305.4	188.323	188.228	188.418	0.19	21	4	1	2	6	0			605.4	2619.3	616.7	2227.6	618.7	2745.3	615.9	2744.9	623.2	2710.2	5	599	2594	3068	21.4126	1	game	188.2576
AA	1	PROCTOR	875.4	1614.4	2344.9	159.9	216.7	759.4	189.266	189.223	189.353	0.13	5	1	6	1	8	4			864.2	1648.5	879.9	1614.6	907.5	1630.9	899.8	1679.5	812.5	1759.4	5	912	1645	2463	5.16184	1	Proctor	189.3008
EY	1	PLAYOFFS	728.0	1750.1	3408.6	54.5	134.9	175.8	190.389	190.377	190.556	0.179	21	0	0	0	8	1			711.0	1997.8	666.0	2214.0	661.1	2301.9	712.5	2158.5	780.5	1966.4	4	718	1927	3369	21.3218	1	playoffs	190.3847
AH	1	SOMETHING	768.6	1449.0	3010.9	253.8	309.4	508.8	194.2	194.183	194.233	0.05	6	4	1	2	3	4			749.6	1480.3	768.6	1449.0	810.0	1404.8	827.3	1369.6	813.5	1343.4	5	852	1368	3009	6.41232	1	something	194.2169
EH	1	THERE	653.4	2095.5	2749.8	57.5	219.8	415.1	200.375	200.272	200.582	0.31	24	6	4	2	3	0			655.8	2181.5	652.2	2078.8	654.8	1973.2	643.6	1870.4	630.1	1845.7	5	661	2182	3216	24.6003	1	there	200.3048
AO	1	FOUR	624.0	912.2	2674.3	115.2	83.1	612.3	205.479	205.446	205.546	0.1	64	6	4	2	1	0			594.5	906.9	628.3	915.1	654.9	980.7	659.9	1087.3	657.1	1192.7	6	597	910	2785	64.6001	1	four	205.4619
EY	1	DAYS	617.4	2183.4	3285.4	98.6	162.8	303.7	205.652	205.636	205.777	0.141	21	3	4	2	3	0			613.3	2260.4	581.9	2398.4	518.4	2475.0	475.7	2352.0	467.9	2156.6	4	614	2214	3199	22.0023	1	days	205.6614
AO	1	OFF	891.2	1530.0	3053.0	120.3	168.2	313.2	205.866	205.826	205.946	0.12	53	3	2	1	0	0			820.1	1581.8	898.0	1528.2	926.6	1515.9	919.3	1495.4	908.0	1484.2	4	899	1490	2842	53.321	1	off	205.8802
EY	1	DAYS	674.3	2282.7	3312.5	124.0	203.3	369.9	208.339	208.287	208.507	0.22	21	3	4	2	3	0			673.2	2277.2	633.9	2435.1	576.0	2559.5	556.5	2644.8	501.4	2546.1	4	682	2243	3167	22.0023	1	days	208.3311
AE	1	AND	673.8	2697.3	3200.8	147.4	324.4	318.4	209.713	209.563	210.013	0.45	3	4	4	2	0	3			668.4	2780.2	670.7	2637.6	660.1	2298.6	778.8	1981.1	749.8	1847.5	5	709	2841	3290	3.44203	1	and	209.666
EH	1	SECOND	858.4	1846.6	3250.5	121.8	217.9	372.5	214.195	214.172	214.242	0.07	2	1	6	1	3	1			832.9	1822.0	864.1	1851.7	888.5	1878.9	892.5	1911.4	875.2	1962.6	4	864	1823	2982	2.16131	1	second	214.211
AY	1	TIME	882.4	1933.4	3235.7	115.6	250.1	841.4	214.519	214.492	214.612	0.12	41	4	1	2	3	0		m	882.0	1933.4	879.2	1952.0	871.9	1997.6	837.5	2011.1	782.4	1933.6	4	884	1934	2721	41.4123	1	time	214.5263
AE	1	GRANDPARENTS	673.6	2193.4	3342.4	130.1	100.2	798.0	217.944	217.911	218.011	0.1	33	4	1	2	8	5			663.8	2190.4	675.8	2192.8	682.9	2192.0	676.4	2212.3	681.0	2211.9	4	650	2183	2385	3.44284	1	grandparents	217.981
