vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
ER	1	FIRST	513.7	1123.4	1495.0	128.9	129.8	199.0	85.479	85.435	85.566	0.131	94	3	4	1	1	3			526.6	1084.2	511.1	1128.6	477.6	1190.6	454.8	1337.4	433.7	1345.9	6	553	1222	1528	94.60013	1	first	85.4848
EY	1	GRADE	515.1	2236.4	2297.9	193.1	380.1	458.5	85.829	85.816	85.935	0.119	21	1	4	2	8	0			481.5	2344.9	457.0	2442.0	438.9	2562.3	420.3	2503.8	401.7	2188.8	4	465	2449	2577	21.1428	1	grade	85.8631
EY	1	EIGHTH	536.2	2525.9	3122.9	161.9	330.8	1684.3	86.194	86.126	86.316	0.19	21	3	3	1	0	0			545.2	2381.3	539.4	2523.1	492.4	2655.5	457.5	2229.4	442.0	1399.1	4	490	2669	2726	21.331	1	eighth	86.2256
EY	1	GRADE	475.4	2169.7	2446.6	77.6	516.1	137.9	86.619	86.606	86.756	0.15	21	1	4	2	8	0			452.2	2216.3	442.4	2319.5	440.6	1753.4	431.8	1405.0	449.6	2393.9	5	444	2354	2566	21.1428	1	grade	86.6502
AE	1	GRADUATED	463.7	2437.7	4361.7	186.3	73.1	821.5	87.123	87.096	87.176	0.08	3	2	5	2	8	2			468.7	2405.2	463.0	2440.4	456.1	2487.6	447.1	2500.2	444.1	2469.1	3	456	2193	2452	3.25282	1	graduated	87.1165
EH	1	THERE	507.5	2172.9	2573.8	93.0	331.3	174.1	88.298	88.255	88.385	0.13	24	6	4	2	3	0			523.9	2149.9	504.4	2164.3	503.3	2100.1	531.0	1912.6	562.7	1710.9	5	526	2187	2672	24.6003	1	there	88.2829
AA	1	ON	879.4	1824.6	2555.7	104.9	91.2	322.2	88.925	88.895	88.985	0.09	53	4	4	2	0	0			879.2	1800.8	879.0	1828.7	873.8	1856.1	860.3	1881.0	817.5	1906.1	5	881	1822	2549	5.442	1	on	88.9229
AA	1	PROCTOR	783.5	1611.3	1950.4	93.2	294.9	424.3	89.305	89.285	89.346	0.061	5	1	6	1	8	4			785.3	1593.2	783.6	1615.2	783.0	1649.7	777.5	1674.8	765.7	1689.5	5	787	1673	2025	5.16184	1	Proctor	89.3175
AY	1	HIGHSCHOOL	852.8	1827.0	4380.5	186.4	126.1	272.3	89.583	89.596	89.705	0.109	47	3	4	1	0	4		m	842.1	1870.1	788.0	1993.9	707.4	2179.1	578.9	2352.5	499.5	2421.0	3	827	1726	2003	47.34201	1	highschool	89.6113
OW	1	BOTH	563.3	1019.5	2428.4	93.4	60.7	519.0	95.19	95.179	95.329	0.15	62	3	3	1	1	0			563.9	991.9	535.8	924.4	506.8	880.2	498.8	867.2	529.6	871.7	5	585	1011	2509	62.3311	1	both	95.206
AA	1	MOMMY	950.5	1699.0	2707.5	94.7	160.2	489.6	96.642	96.588	96.749	0.161	5	4	1	2	2	1			915.7	1733.1	950.7	1693.3	944.4	1660.6	950.4	1691.3	932.8	1658.6	6	939	1698	3224	5.41221	1	mommy	96.6695
AE	1	DAD	530.5	2423.9	2721.7	126.2	120.0	2676.0	97.152	97.079	97.298	0.219	3	1	4	2	3	0			487.5	2406.5	531.4	2426.8	559.7	2367.6	647.6	2254.2	677.1	1940.0	4	434	2384	2739	3.1423	1	dad	97.1142
AE	1	GRANDPARENTS	596.6	2594.5	2710.7	180.0	251.0	1336.2	99.759	99.716	99.846	0.13	33	4	4	2	8	5			614.6	2511.1	591.5	2594.8	582.0	2537.9	585.4	2526.1	588.8	2197.9	4	724	2532	2969	3.44284	1	grandparents	99.7575
IH	1	ITALY	507.4	2286.4	3262.5	497.1	818.5	1699.5	100.878	100.825	100.985	0.16	1	1	4	1	0	2			502.1	2178.6	500.1	2274.3	547.7	2330.5	565.7	2202.2	600.6	2002.8	4	590	2140	2788	1.14102	1	Italy	100.94
