ChristieL, 20, F, w, 12, Utica, 2006

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
AA	1	NOT	927.4	1841.8	3256.4	66.8	190.4	254.5	72.186	72.159	72.239	0.08	5	1	4	1	4	0			858.1	1794.2	931.0	1848.1	934.2	1938.8	886.6	2022.9	807.9	2116.4	4	
EH	1	YET	662.8	2300.3	3125.5	42.8	294.7	195.5	72.341	72.298	72.428	0.13	2	1	4	1	9	0			596.0	2407.1	643.5	2169.8	690.7	1755.4	796.1	2080.4	805.3	1396.9	5	
AY	1	MY	846.7	1482.6	3219.0	126.6	285.6	635.8	95.429	95.403	95.463	0.06	41	0	0	0	2	0		s	818.4	1405.4	846.6	1475.3	834.0	1546.9	781.0	1632.4	693.1	1706.0	4	
AE	1	FAMILY	571.2	2206.1	3006.3	85.6	304.5	137.3	95.596	95.563	95.662	0.099	39	4	1	2	1	1			550.3	2262.3	576.8	2195.0	661.7	2159.9	733.7	2069.3	729.5	1768.1	5	
AW	1	OUT	704.6	1492.3	3063.0	62.1	335.5	709.9	95.965	95.942	96.042	0.1	42	1	4	1	0	0			695.9	1527.6	745.3	1337.0	762.2	1183.4	728.1	1212.9	670.4	1316.5	5	
EH	1	THERE	687.4	2023.8	3444.2	50.3	1272.2	1307.3	96.145	96.122	96.192	0.07	24	6	4	2	3	0			684.6	2021.6	688.2	2045.5	701.2	2226.0	702.2	2223.3	706.6	1984.9	4	
AY	1	I	976.0	1572.6	2950.5	137.7	403.4	366.4	99.639	99.598	99.708	0.11	41	0	0	0	0	0		s	789.0	1699.3	974.5	1603.5	962.3	1592.7	942.1	1702.7	893.9	1559.2	5	
OW	1	DON'T	768.9	1332.2	1658.7	117.6	219.7	1378.7	99.757	99.748	99.808	0.06	62	4	4	2	3	0			768.9	1332.2	772.8	1261.2	770.2	1190.3	771.7	1141.0	768.9	1097.5	6	
OW	1	GO	614.9	1098.6	3175.9	126.9	239.9	466.5	99.908	99.888	99.977	0.089	63	0	0	0	6	0			614.9	1098.6	661.0	1133.5	661.6	1141.5	646.8	1144.4	605.9	1140.1	5	
AY	1	MY	893.2	1630.9	2997.1	107.1	114.7	187.0	100.158	100.147	100.218	0.071	41	0	0	0	2	0		s	890.4	1656.0	840.9	1731.7	751.3	1806.8	633.9	1861.2	548.5	1873.2	5	
AE	1	GRANDMOTHER	681.1	1903.2	2515.5	117.6	420.5	413.8	100.335	100.308	100.388	0.08	39	4	1	2	8	2			625.0	1891.9	686.2	1901.1	744.9	1848.5	787.2	1760.2	792.5	1588.3	5	
ER	0	GRANDMOTHER	610.9	1482.0	2879.5	87.1	411.1	519.4	100.574	100.557	100.607	0.05	94	0	0	0	3	0			624.5	1498.0	610.9	1482.0	573.1	1447.6	532.8	1405.9	499.3	1364.5	5	
OW	1	GOES	564.3	1101.4	2631.1	104.6	144.4	909.3	100.667	100.648	100.757	0.109	62	3	4	2	6	0			577.2	1094.8	617.0	1098.5	608.6	1094.2	601.0	1158.2	567.9	1249.0	5	
EH	1	THERE	659.9	1865.2	3023.8	70.6	255.2	295.5	100.897	100.857	100.977	0.12	24	6	4	2	3	0			647.8	1828.8	660.8	1871.1	672.3	1872.0	692.3	1824.6	717.4	1735.8	4	
AA	1	LOT	828.3	1126.0	1903.1	123.7	316.6	970.7	101.104	101.067	101.178	0.111	5	1	4	1	7	0			817.8	1082.3	830.7	1135.8	857.5	1224.6	815.3	1282.6	871.6	1455.6	6	
